top - 15:55:59 up  3:04,  3 users,  load average: 0.02, 0.04, 0.05
Tasks: 257 total,   2 running, 255 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.8 us,  5.6 sy,  0.0 ni, 91.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  1867052 total,   416140 free,   706688 used,   744224 buff/cache
  3215 root      20   0  116100   2740   1660 S   0.0  0.1   0:00.10 bash
  3255 root      20   0  225460   3428   2620 S   0.0  0.2   0:00.02 su
  3256 e3base    20   0  116328   2860   1752 S   0.0  0.2   0:00.11 bash
  3287 e3base    20   0  113180   1412   1188 S   0.0  0.1   0:00.75 sys.sh
  3408 root      20   0  132900   4264   3224 S   0.0  0.2   0:00.23 login
  3428 e3base    20   0  116104   2816   1700 S   0.0  0.2   0:00.11 bash
  4920 root      20   0  150448   5372   4068 S   0.0  0.3   0:00.10 sshd
  4923 e3base    20   0  150448   2432   1092 S   0.0  0.1   0:00.02 sshd
  4998 root      20   0  150448   5376   4068 S   0.0  0.3   0:00.15 sshd
  5000 e3base    20   0  150448   2436   1092 S   0.0  0.1   0:00.03 sshd
  5067 root      20   0  150448   5376   4068 S   0.0  0.3   0:00.10 sshd
  5069 e3base    20   0  150448   2436   1092 S   0.0  0.1   0:00.02 sshd
  5575 root      20   0  150448   5372   4064 S   0.0  0.3   0:00.27 sshd
  5577 e3base    20   0  150448   2436   1092 S   0.0  0.1   0:00.08 sshd
  7078 root      20   0       0      0      0 S   0.0  0.0   0:00.75 kworker/u+
  8768 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
  8894 root      20   0  150448   5368   4064 S   0.0  0.3   0:00.10 sshd
  8896 e3base    20   0  150448   2432   1092 S   0.0  0.1   0:00.05 sshd
  9148 root      20   0       0      0      0 S   0.0  0.0   0:00.25 kworker/1+
  9428 root      20   0       0      0      0 S   0.0  0.0   0:00.05 kworker/0+
  9443 root      20   0       0      0      0 S   0.0  0.0   0:00.44 kworker/0+
  9542 root      20   0       0      0      0 S   0.0  0.0   0:00.37 kworker/0+
  9661 root      20   0  341512   6520   4548 S   0.0  0.3   0:00.07 abrt-dbus
  9684 root      20   0  107956    616    520 S   0.0  0.0   0:00.00 sleep
